task,model,language,format_mode,prompt_style,f1,energy_j,J_per_entity,J_per_TP,F1_per_J
NER,70B,hau,dst__false,6,0.6977981380227575,11958.598000001162,3.5017856515376757,5.065056332063177,5.8351166083406235e-05
NER,70B,hau,dst__false,7,0.6946674311926605,6141.153000000864,1.6945786423843445,2.5345245563354784,0.00011311677647382547
NER,70B,hau,dst__false,8,0.6939945535330372,6166.120000001043,1.700998620689943,2.546931020240001,0.00011254963470268496
NER,70B,ibo,dst__false,1,0.5819363667464934,19324.55700000003,6.521956463044222,11.36070370370372,3.011382702053623e-05
NER,70B,ibo,dst__false,2,0.5989228007181328,19794.39900000021,7.366728321548273,11.867145683453362,3.0257185414830047e-05
NER,70B,ibo,dst__false,3,0.5836748633879781,8510.081000000238,2.862455768584002,4.979567583382235,6.858628764966653e-05
NER,70B,ibo,dst__false,4,0.6034420939404805,8955.640000000596,3.323057513914878,5.321235888295066,6.738123617524157e-05
NER,70B,ibo,dst__false,5,0.6174399711139195,20117.67499999702,7.574425828312131,11.76472222222048,3.0691417925481495e-05
NER,70B,ibo,dst__false,6,0.5963802495167808,19727.936000000685,7.025618233618478,11.625183264584965,3.023024048317878e-05
NER,70B,ibo,dst__false,7,0.5819672131147542,19220.006999999285,6.464852674066359,11.279346830985496,3.027924043496841e-05
NER,70B,ibo,dst__false,8,0.5799281928534792,8531.658000003546,2.87648617667011,5.030458726417185,6.797368024518072e-05
NER,70B,kin,dst__false,1,0.5936531365313653,17732.719999998808,4.684998678995722,8.817861760317657,3.347783851159919e-05
NER,70B,kin,dst__false,2,0.6247170665459484,17569.493000000715,4.830765191091755,8.487677777778122,3.5556920540958296e-05
NER,70B,kin,dst__false,3,0.5923416789396171,8735.354999996722,2.298777631578085,4.343786673295237,6.7809685918871e-05
NER,70B,kin,dst__false,4,0.6230051189400783,8776.140000000596,2.403105147864347,4.2417303044952135,7.098851191298634e-05
NER,70B,kin,dst__false,5,0.5971171685457399,17003.989999994636,4.233007219316564,8.128102294452503,3.511629732468252e-05
NER,70B,kin,dst__false,6,0.6046578082583225,17790.8919999972,4.437738089298378,8.407793950849337,3.398693040564901e-05
NER,70B,kin,dst__false,7,0.5972201901975127,8718.155000001192,2.267400520156357,4.271511513964327,6.850304797258492e-05
NER,70B,kin,dst__false,8,0.5961482346075284,8745.863000005484,2.2634221014506943,4.280892315225396,6.816345449353079e-05
NER,70B,lug,dst__false,1,0.8102136017677388,7787.230999998748,3.6749556394519813,4.719533939393181,0.00010404386382885894
NER,70B,lug,dst__false,2,0.8222996515679443,8310.026000000536,4.026175387597159,5.03028208232478,9.895271706344735e-05
NER,70B,lug,dst__false,3,0.810505645557192,4047.0839999988675,1.9090018867919187,2.4512925499690295,0.0002002690444669344
NER,70B,lug,dst__false,4,0.8208955223880597,4415.4710000008345,2.137207647628671,2.676043030303536,0.0001859134670769901
NER,70B,lug,dst__false,5,0.8367097876494995,7914.248999997973,3.693069995332699,4.61741481913534,0.00010572194375609282
NER,70B,lug,dst__false,6,0.8442643707267663,8656.568999998271,4.339132330826201,5.1929028194350755,9.752875194859937e-05
NER,70B,lug,dst__false,7,0.8112745098039216,4045.030000001192,1.9026481655697047,2.4441268882182428,0.0002005608140863436
NER,70B,lug,dst__false,8,0.8115657926978682,4312.2360000014305,2.0273794076170337,2.6040072463776753,0.000188200690476495
NER,70B,nya,dst__false,1,0.6891266166373942,15013.223000000231,4.5702353120244235,6.957007877664611,4.590131090688412e-05
NER,70B,nya,dst__false,2,0.732740943267259,14271.488000000361,4.965723034098943,6.656477611940467,5.1342995437283096e-05
NER,70B,nya,dst__false,3,0.6899856252994729,6096.918000000063,1.8571178799878354,2.8226472222222516,0.00011316957605456818
NER,70B,nya,dst__false,4,0.7320484393655126,6825.461999999825,2.3658447140380674,3.1805507921714002,0.00010725258442073684
NER,70B,nya,dst__false,5,0.7384234711912336,14489.592000000179,5.406564179104544,6.936137865007266,5.096233704794618e-05
NER,70B,nya,dst__false,6,0.7393982051733239,15670.495000000112,5.793158964879893,7.458588767253742,4.718410013042464e-05
NER,70B,nya,dst__false,7,0.6910777102654302,6182.6069999998435,1.8872426739926262,2.8609935215177433,0.00011177771937718954
NER,70B,nya,dst__false,8,0.6909555768616171,6871.2639999999665,2.0948975609755993,3.178197964847348,0.00010055727401270283
NER,70B,pcm,dst__false,1,0.7138836772983115,8917.57899999991,3.8654438664932425,5.859118922470375,8.005352992088085e-05
NER,70B,pcm,dst__false,2,0.7337164750957855,9225.912999998778,4.157689499774123,6.022136422975704,7.952779037650612e-05
NER,70B,pcm,dst__false,3,0.7133787914413355,5216.217000000179,2.2718715156795204,3.438508239947382,0.0001367617166696307
NER,70B,pcm,dst__false,4,0.7321643045880374,5852.960999999195,2.6532008159561173,3.8405255905506532,0.00012509297509211799
NER,70B,pcm,dst__false,5,0.7498176513493802,8912.223999999464,4.133684601112924,5.779652399480845,8.413361820230565e-05
NER,70B,pcm,dst__false,6,0.7606879606879607,8853.710999999195,4.19011405584439,5.7194515503870775,8.591741482052327e-05
NER,70B,pcm,dst__false,7,0.7153250410701714,5650.6699999999255,2.4525477430555234,3.707788713910712,0.00012659119026065595
NER,70B,pcm,dst__false,8,0.7129781741375264,5421.702999999747,2.353169704861001,3.5692580645159624,0.0001315044690086417
NER,70B,swa,dst__false,1,0.7820131799974157,14435.179999999702,3.6024906413775146,4.770383344348877,5.4174120447229054e-05
NER,70B,swa,dst__false,2,0.7935466946484785,13797.50299999863,3.5450932682421965,4.561158016528473,5.751379033210265e-05
NER,70B,swa,dst__false,3,0.7796917497733454,6856.312999997288,1.7188049636493576,2.277844850497438,0.00011371880918704468
NER,70B,swa,dst__false,4,0.7930220356768101,6430.120999999344,1.65213797533385,2.127066159444044,0.00012332925549564166
NER,70B,swa,dst__false,5,0.7877028631745612,14949.94299999997,3.8861302313490955,5.008356113902837,5.268935561657745e-05
NER,70B,swa,dst__false,6,0.7707853671015604,14301.517000000924,3.50012652961354,4.746603717225663,5.38953571919336e-05
NER,70B,swa,dst__false,7,0.7792207792207791,6757.082000002265,1.7028936491941191,2.2523606666674216,0.00011531912432326823
NER,70B,swa,dst__false,8,0.7790320487868171,6855.098999999464,1.724553207547035,2.2835106595601142,0.00011364271307925357
NER,70B,tsn,dst__false,1,0.7013589658601259,6622.201999999583,3.918462721893244,6.259170132324748,0.00010591023436919775
NER,70B,tsn,dst__false,2,0.7186648501362398,6906.463999999687,4.292395276569104,6.5464113744072865,0.00010405684444837073
NER,70B,tsn,dst__false,3,0.6992729676140118,3049.894999999553,1.7951118304882596,2.882698487712243,0.00022927771861461273
NER,70B,tsn,dst__false,4,0.7194831689901393,2849.14100000076,1.7652670384143494,2.69294990548276,0.00025252634706037625
NER,70B,tsn,dst__false,5,0.6986928104575163,6087.941000001505,3.5129492210049076,5.694986903649677,0.00011476668556041256
NER,70B,tsn,dst__false,6,0.6995397764628534,6523.4589999988675,3.803766180757357,6.131070488720741,0.00010723448656042366
NER,70B,tsn,dst__false,7,0.7019517036056898,3228.9969999995083,1.9038897405657478,3.043352497643269,0.00021739001417647545
NER,70B,tsn,dst__false,8,0.698779280765424,3205.1180000007153,1.8809377934276499,3.0265514636456237,0.00021801982977390162
NER,70B,twi,dst__false,1,0.5864197530864197,8820.82300000079,8.94606795131926,18.57015368421219,6.648129693639326e-05
NER,70B,twi,dst__false,2,0.6440217391304348,8936.428999999538,10.663996420047182,18.85322573839565,7.206701235252562e-05
NER,70B,twi,dst__false,3,0.5880172946263126,4341.58900000155,4.407704568529492,9.120985294120903,0.00013543826802263012
NER,70B,twi,dst__false,4,0.6462585034013607,3874.360999999568,4.63440311004733,8.1565494736833,0.00016680389447483928
NER,70B,twi,dst__false,5,0.6477349560513861,8877.713999999687,10.506170414200813,18.533849686846942,7.296190844303038e-05
NER,70B,twi,dst__false,6,0.6322751322751322,9331.151000000536,10.627734624146397,19.521236401674763,6.775960782063176e-05
