task,model,language,param_changed,param_value,prompt_style,f1,energy_j,J_per_entity,J_per_TP,F1_per_J
NER,12B,zul,batch_size,128,5,0.45058317986494784,11769.556999999972,7.090094578313236,16.03481880108988,3.828378416154057e-05
NER,12B,zul,batch_size,128,6,0.46576227390180885,12106.5,8.08177570093458,16.79126213592233,3.847208308774698e-05
NER,12B,zul,batch_size,128,7,0.4338451486442339,14842.36699999997,10.145158578263821,22.352962349397544,2.923018603732375e-05
NER,12B,zul,batch_size,128,8,0.3256010122311261,29836.16399999999,38.597883570504514,77.29576165803107,1.0912964958602794e-05
NER,12B,ewe,batch_size,512,1,0.6904464953853829,10230.81799999997,5.112852573713129,7.392209537572233,6.748692972403428e-05
NER,12B,ewe,batch_size,512,2,0.7140337616528092,4064.7009999998845,2.0727695053543522,2.8685257586449433,0.00017566698304569744
NER,12B,ewe,batch_size,512,3,0.6268867924528302,4832.447999999858,2.165075268817141,3.6361534988712254,0.00012972447762559444
NER,12B,ewe,batch_size,512,4,0.6820208023774146,6549.820999999996,3.2265128078817717,4.756587509077702,0.00010412815897982784
NER,12B,ewe,batch_size,512,5,0.6746051032806804,3321.475000000093,1.5764000949217338,2.392993515850211,0.0002031040737264804
NER,12B,ewe,batch_size,512,6,0.682685162249195,6270.405999999959,3.0903923114834693,4.550367198838868,0.00010887415619486194
NER,12B,ewe,batch_size,512,7,0.6099706744868035,8251.085999999894,3.959254318617991,6.6114471153845304,7.392610796770406e-05
NER,12B,hau,batch_size,512,1,0.6365597583776788,8100.375,2.249479311302416,3.6603592408495254,7.858398634355554e-05
NER,12B,hau,batch_size,512,2,0.6809434235277095,6211.46899998188,1.745284911486901,2.6398083297840547,0.00010962679255578607
NER,12B,hau,batch_size,512,3,0.6141622525787566,6915.041000008583,1.8092728937751394,3.1389201089462473,8.881541737467562e-05
NER,12B,hau,batch_size,512,4,0.6725866513892866,5977.3379999399185,1.6466495867603081,2.5457146507410213,0.00011252277374912497
NER,12B,hau,batch_size,512,5,0.694659839063643,6059.677999973297,1.739786965252167,2.55251811287839,0.00011463642772218328
NER,12B,hau,batch_size,512,6,0.6889526542324247,6089.1159999370575,1.683006080690176,2.5360749687368003,0.00011314493831937942
NER,12B,hau,batch_size,512,7,0.6392162430782338,5028.967000007629,1.3624944459516741,2.2341035095547,0.00012710686768818805
NER,12B,hau,batch_size,512,8,0.49218602899642255,15258.069000005722,7.7887029096507,11.674115531756483,3.225742582473824e-05
NER,12B,ibo,batch_size,512,1,0.4128634075036544,20803.675999999978,6.3542076970067125,16.367959087332792,1.984569493889709e-05
NER,12B,ibo,batch_size,512,2,0.4545454545454546,12315.785000000033,3.99993017213382,9.089140221402237,3.69075503141256e-05
NER,12B,ibo,batch_size,512,3,0.40479852353122114,14497.143999999971,4.005842497927596,11.01606686930089,2.7922639350979885e-05
NER,12B,ibo,batch_size,512,4,0.4558404558404558,9754.923000000068,3.1630749027237575,7.17273750000005,4.672927257759519e-05
NER,12B,ibo,batch_size,512,5,0.5315958586219207,11005.261000000057,4.04753990437663,7.391041638683719,4.830379385113338e-05
